"Population 1/","State Code","Region Code","AreaName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"600","24","2","Maryland",3868000,3938051,4022507,4081121,4109038,4133341,4157208,4172132,4194639,4211641,4223398,4227643,4261905,4282923,4313329,4365246,4413072,4486956,4565558,4657903,4727303,4799770,4867641,4923368,4971889,5023060,5070033,5111986,5157328,5204464,5254509,5311531,5383377,5450525,5508909
"600","25","1","Massachusetts",5650000,5703706,5738589,5762122,5783809,5776992,5762138,5748868,5744097,5742923,5746188,5746075,5768685,5771222,5799405,5840774,5880734,5902677,5935205,5979983,6015478,6022639,6018470,6028709,6060569,6095241,6141445,6179756,6226058,6271838,6317345,6362076,6399869,6421800,6433422
"600","26","3","Michigan",8781000,8896558,8971835,9024681,9071764,9109374,9107840,9117481,9157247,9201953,9248814,9255553,9209287,9115196,9047764,9049454,9076287,9127774,9187484,9218002,9253298,9311319,9400446,9479065,9540114,9597737,9676211,9758645,9809051,9847942,9897116,9955795,10005218,10043221,10079985
"600","27","4","Minnesota",3758000,3815249,3851901,3866878,3885164,3898450,3925793,3956602,3979844,4004676,4038150,4085017,4111733,4131450,4141458,4157704,4184301,4205213,4235136,4296163,4338056,4389857,4440859,4495572,4555954,4610355,4660180,4712827,4763390,4813412,4873481,4933648,4985202,5024791,5059375
"600","28","5","Mississippi",2220000,2221128,2265529,2307291,2349802,2378603,2399924,2430324,2459810,2488033,2507967,2525342,2539032,2556776,2567719,2578053,2588103,2593596,2588545,2580349,2574272,2578897,2598733,2623734,2655100,2688992,2722659,2748085,2777004,2804834,2828408,2848440,2857716,2866733,2881281
"600","29","4","Missouri",4640000,4684768,4722703,4753234,4774601,4785391,4795383,4823554,4845042,4871171,4889327,4921966,4932069,4929456,4943735,4975276,5000260,5023055,5056702,5081737,5095844,5128880,5170800,5217101,5271175,5324497,5378247,5431553,5481193,5521765,5561948,5605995,5636220,5669544,5704484
"600","30","7","Montana",694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903380,905954,910372,917621
"600","31","4","Nebraska",1474000,1487963,1504208,1518293,1528517,1537809,1541440,1548901,1554466,1560826,1564356,1572296,1578517,1581776,1584293,1588638,1584661,1574328,1566544,1571477,1574858,1581660,1595919,1611687,1625590,1639041,1656992,1673740,1686418,1695816,1704764,1713165,1719000,1727564,1739291
"600","32","8","Nevada",480000,493223,519989,546736,568910,596713,619847,646823,678134,719345,765121,810215,847656,881538,901978,924921,951032,980614,1023374,1075023,1137382,1220695,1296171,1351367,1411215,1499298,1581578,1666320,1764104,1853191,1934718,2018104,2094633,2167455,2241154
"600","33","1","New Hampshire",724000,741932,762173,781699,801824,817073,830025,847025,871860,893974,911893,924250,936621,947720,958134,976863,996753,1025054,1054289,1082576,1104523,1112384,1109929,1117784,1129458,1142560,1157561,1174719,1189425,1205940,1222014,1240472,1258974,1274405,1287687
"600","34","2","New Jersey",7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8432116,8504114,8575252,8638396
"600","35","6","New Mexico",1011000,1023206,1053258,1077815,1104225,1129568,1162682,1195162,1225245,1251848,1280539,1309400,1332747,1363822,1394362,1416719,1438360,1462728,1478519,1490336,1503901,1521574,1555305,1595442,1636453,1682398,1720394,1752326,1774839,1793484,1808082,1821544,1829110,1852044,1874614
"600","36","2","New York",18105000,18271605,18364865,18351767,18194767,18072768,18032254,17974654,17851507,17720421,17633646,17566754,17567731,17589737,17686907,17745676,17791678,17833421,17868844,17941309,17983084,18020784,18122510,18246653,18374954,18459470,18524104,18588460,18656546,18755906,18882725,18997344,19074843,19134293,19190115
"600","37","5","North Carolina",5031000,5099150,5200760,5296085,5382441,5461112,5535097,5593463,5668494,5740286,5801563,5898980,5956653,6019108,6077059,6164004,6253957,6321576,6403693,6480591,6565462,6664016,6784280,6897214,7042818,7187398,7344674,7500670,7656825,7809121,7949361,8077662,8195249,8305820,8407248
"600","38","4","North Dakota",621000,618851,626659,630937,632411,634212,638469,645293,649168,650648,652152,654380,659504,668972,676687,680499,676979,669513,661141,655330,646351,637685,635753,638223,641216,644804,647832,650382,649716,647532,644259,641082,636285,633911,633837
"600","39","3","Ohio",10563000,10668839,10734782,10746920,10767205,10765613,10770498,10752731,10771232,10795431,10798562,10800650,10788336,10757085,10737631,10737743,10734926,10730272,10760081,10798554,10829216,10864162,10945762,11029431,11101140,11152454,11202751,11242827,11277357,11311536,11335454,11363337,11385833,11408699,11435798
"600","40","6","Oklahoma",2535000,2566485,2617944,2657448,2694182,2732454,2771858,2823396,2865935,2913056,2970080,3040758,3096159,3206129,3290404,3285535,3271333,3252735,3210124,3167064,3150304,3148825,3175440,3220517,3252285,3280940,3308208,3340129,3372917,3405194,3437147,3453996,3467181,3489700,3511532
"600","41","8","Oregon",2062000,2100388,2149890,2195219,2238878,2280956,2324622,2372155,2439355,2509609,2578312,2641218,2667985,2664919,2653071,2666589,2672648,2683526,2700996,2741297,2790579,2860375,2928507,2991755,3060367,3121264,3184369,3247111,3304310,3352449,3393941,3430706,3472629,3520355,3559596
"600","42","2","Pennsylvania",11741000,11811561,11884354,11904541,11885202,11863936,11897778,11887478,11881857,11864774,11873563,11868305,11858569,11845146,11837726,11815175,11770865,11782754,11810869,11845755,11865992,11903299,11982164,12049450,12119724,12166050,12198403,12220464,12227814,12245672,12263805,12285492,12298363,12328827,12365455
"600","44","1","Rhode Island",932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050664,1058992,1068326,1076164
