"Per capita disposable personal income 2/","State Code","Region Code","AreaName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003"
"400","36","2","New York",3866,4182,4499,4758,5159,5582,6100,6514,7069,7721,8437,9424,10454,11352,12282,13687,14473,15381,16212,17818,18986,20183,20750,21525,21650,22197,23268,24212,25245,26461,27296,28883,29114,30398,31527
"400","37","5","North Carolina",2655,2879,3108,3409,3844,4155,4541,4966,5352,5950,6474,7172,8000,8615,9304,10517,11245,11928,12552,13589,14460,15196,15648,16720,17325,17982,18716,19548,20508,21400,22136,23398,23825,24609,25307
"400","38","4","North Dakota",2759,2920,3397,4027,5686,5444,5695,5531,5764,7246,7390,6932,9098,9929,10361,11252,11731,12032,12489,11485,13075,14457,14746,16085,16006,17244,17008,19084,18560,20620,20863,22598,23159,24509,26902
"400","39","3","Ohio",3394,3589,3856,4116,4581,5020,5402,5946,6561,7233,7960,8770,9510,10105,10737,11941,12641,13220,13688,14648,15559,16446,16824,17709,18149,19067,19675,20217,21308,22405,23164,24264,24683,25660,26684
"400","40","6","Oklahoma",2818,3098,3356,3574,4058,4400,4936,5339,5841,6456,7364,8279,9414,10086,10372,11328,11874,12100,12062,12753,13632,14280,14749,15553,15947,16410,16826,17523,18213,19161,19887,21519,22424,23274,24169
"400","41","8","Oregon",3138,3424,3696,4014,4473,4959,5470,6046,6504,7244,7984,8731,9388,9687,10431,11381,11923,12386,12966,14044,14833,15823,16214,16813,17471,18284,19393,20232,20986,21951,22657,23907,24494,25365,26102
"400","42","2","Pennsylvania",3311,3566,3802,4060,4504,4947,5460,5984,6545,7205,7935,8769,9628,10389,11020,11964,12738,13418,14096,15134,16334,17344,17949,18796,19236,19776,20443,21258,22096,23301,24101,25575,26168,27497,28557
"400","44","1","Rhode Island",3392,3653,3824,4066,4372,4744,5257,5699,6224,6714,7401,8476,9441,10196,10998,12183,12968,13697,14393,15865,17184,17639,17741,18541,19141,19553,20544,21213,22080,23111,23757,25060,25830,27120,28365
"400","45","5","South Carolina",2495,2738,2935,3168,3562,3939,4297,4713,5066,5616,6160,6846,7584,8081,8717,9789,10407,10915,11518,12439,13172,14095,14522,15186,15681,16384,16980,17724,18473,19440,20238,21503,22212,22946,23753
"400","46","4","South Dakota",2739,3005,3304,3795,4776,4717,5271,5108,5875,6708,7387,7317,8582,9022,9486,10887,11172,11691,12251,12669,13548,14822,15396,16328,16682,17775,17777,19661,19849,21251,22019,23164,24243,24721,27149
"400","47","5","Tennessee",2607,2827,3087,3407,3842,4202,4557,5030,5503,6164,6777,7406,8216,8780,9331,10468,11140,11819,12531,13464,14298,15122,15728,16893,17504,18318,19132,19628,20290,21452,22293,23410,24187,25279,26314
"400","48","6","Texas",2941,3221,3451,3709,4150,4562,5131,5638,6118,6925,7696,8563,9736,10406,10940,11989,12708,12784,12975,13812,14626,15623,16165,17128,17633,18236,18928,19802,20991,22282,23251,24964,25601,26308,26922
"400","49","7","Utah",2734,3032,3296,3569,3873,4244,4693,5157,5671,6291,6923,7584,8325,8852,9469,10325,10849,11176,11392,11803,12546,13197,13786,14331,14857,15481,16210,17085,17977,18937,19488,20802,21316,22061,22581
"400","50","1","Vermont",2921,3154,3444,3657,4028,4319,4654,5172,5494,6227,6878,7607,8505,9175,9764,10759,11528,12238,13053,14109,15268,15759,15951,16964,17310,17998,18697,19418,20160,21515,22577,24010,25243,26558,27750
"400","51","5","Virginia",3046,3265,3561,3849,4300,4710,5245,5730,6259,6936,7730,8770,9696,10521,11411,12677,13459,14311,15066,16190,17185,17872,18384,19200,19726,20389,21007,21761,22746,23662,24664,26212,27348,28629,29683
"400","53","8","Washington",3578,3748,3945,4218,4715,5262,5859,6407,6953,7781,8616,9486,10373,11106,11860,12720,13316,14052,14545,15461,16542,17676,18502,19441,19945,20528,21163,22202,23223,24615,25627,27310,28143,29311,30288
"400","54","5","West Virginia",2443,2752,2999,3256,3579,3916,4407,4821,5324,5903,6488,7129,7765,8318,8555,9303,9729,10221,10624,11283,12034,12965,13554,14543,14936,15464,15924,16540,17200,18068,18509,19536,20571,21518,22252
"400","55","3","Wisconsin",3212,3460,3737,4007,4476,4878,5345,5829,6437,7113,7958,8786,9506,10118,10632,11645,12219,12822,13406,14102,15140,15801,16260,17253,17768,18666,19310,20091,21034,22382,23236,24500,25265,26478,27508
"400","56","7","Wyoming",3148,3466,3811,4240,4806,5388,5986,6383,7210,8254,9137,10216,11159,11831,11409,12208,12871,12754,12801,13463,14729,16149,16816,17430,17925,18364,18848,19159,20413,21613,23044,24500,26221,27589,29600
"400","91","1","New England",3580,3868,4130,4372,4795,5204,5657,6121,6663,7334,8123,9164,10151,11095,12050,13505,14396,15338,16431,18091,19157,19749,20068,21092,21510,22279,23136,24026,25007,26452,27510,29522,30638,32104,33234
"400","92","2","Mideast",3681,3985,4285,4553,4988,5427,5949,6424,6982,7660,8395,9373,10351,11214,12083,13339,14176,15010,15832,17295,18486,19569,20110,21021,21308,21864,22793,23716,24665,25973,26804,28578,29127,30497,31675
"400","93","3","Great Lakes",3475,3647,3941,4227,4759,5153,5614,6144,6770,7452,8182,8933,9729,10344,10929,12136,12835,13487,14013,14974,15925,16725,17154,18213,18651,19607,20302,21032,21951,23179,23964,25334,25806,26784,27743
"400","94","4","Plains",3134,3394,3665,3979,4681,4866,5380,5716,6291,7080,7731,8314,9363,9977,10597,11911,12556,13149,13717,14260,15193,15987,16544,17507,17720,18730,19298,20468,21257,22520,23251,24565,25327,26368,27674
"400","95","5","Southeast",2698,2949,3202,3482,3915,4270,4675,5112,5581,6217,6860,7623,8495,9056,9740,10838,11476,12057,12660,13616,14573,15364,15887,16736,17248,17930,18645,19354,20070,21113,21854,23091,23899,24890,25808
"400","96","6","Southwest",2912,3197,3443,3698,4139,4528,5060,5537,6017,6778,7569,8443,9553,10171,10706,11737,12430,12609,12814,13591,14378,15253,15752,16609,17091,17702,18351,19136,20174,21371,22236,23839,24537,25311,25981
"400","97","7","Rocky Mountain",3003,3337,3621,3945,4399,4842,5293,5731,6225,7005,7695,8603,9552,10131,10771,11680,12184,12528,12871,13505,14524,15368,15926,16640,17367,17969,18790,19636,20448,21698,22713,24437,25281,26041,26898
"400","98","8","Far West",3844,4150,4400,4687,5173,5701,6308,6872,7456,8274,9196,10198,11219,11834,12585,13759,14491,15112,15676,16721,17510,18510,18881,19711,19937,20458,21186,21950,22751,24115,24949,26519,27257,28506,29480
"Source: Regional Economic Information System / Bureau of Economic Analysis / U.S. Department of Commerce / April 2004"
